TAG ID,TANK #,START DATE,END DATE,SURVIVAL (days),SURVIVAL,TAG RETENTION (days),TAG IMPLANTED,DUMMY TYPE,DUMMY #,TAG WEIGHT (g),TAG LENGTH (mm),TAG RADIUS (mm),TAG VOLUME (mm),SURGEON,INITIAL LENGTH (mm),INITIAL WEIGHT (g),INITIAL CONDITION FACTOR (k),INITIAL TAG/LENGTH RATIO,INITIAL TAG/WEIGHT RATIO,FINAL LENGTH (mm),FINAL WEIGHT (g),FINAL CONDITION FACTOR (k),FINAL TAG/LENGTH RATIO,FINAL TAG/WEIGHT RATIO,LENGTH DIF,DELTA LENGTH (%),DELTA WEIGHT (%),DELTA k (%),TAG PRESENT,SEX,SUTURES REMAINING,INCISION,EXTERNAL CONDITION,INTERNAL CONDITION,RESPONSE TO TAG,STATE OF TAG REJECTION,REJECTION,REJECTION (Y/N),ANTEROPOSTERIOR AXIS,LEFT-RIGHT AXIS,NOTES,comments,,RESPONSE TO TAG.1
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1066,0.9,22,3.5,846.6592201,1,308,303.9143568,1.040157409,0.071428571,0.002961361,355,491.5,1.0986,0.061971831,0.001831129,47,0.152597403,0.617231924,0.056183543,Y,M,3,healed,some irritation,tissue adhesion near incision site,encapsulated in mesentery,no rejection,No,No,medial,medial,comsumed 8 tags,"three sutures remaining, minimal redness, adhesion to suture area, tag encapsulated, located middle, fish consumed 8 tags, numbers: tag # dt16, dt55, 1048, 1035, dt70, 1054, 1169, 1047 two tags were just labels not physical tags dt55 and 1035",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1085,0.9,22,3.5,846.6592201,2,295,267.1295141,1.040532923,0.074576271,0.003369152,360,560.5,1.20135,0.061111111,0.001605709,65,0.220338983,1.098233143,0.154548785,Y,M,2,healed,some irritation,,encapsulated in mesentery,adhered to body wall,In progress,Yes,medial,left lateral,,"two sutures remaining, redness, tag left side middle, encapsulated on side of fish mesentary, adhesion on body wall",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1075,0.9,22,3.5,846.6592201,3,295,267.1295141,1.040532923,0.074576271,0.003369152,370,619,1.22204,0.059459459,0.001453958,75,0.254237288,1.317228039,0.174436799,Y,M,2,healed,some irritation,tissue adhesion near incision site,encapsulated in mesentery,adhered to body wall,In progress,Yes,medial,right lateral,,"two sutures with some redness, some adhesion at suture site, tag middle right side encapsulated to body cavity",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1034,0.9,22,3.5,846.6592201,3,295,267.1295141,1.040532923,0.074576271,0.003369152,345,411,1.00089,0.063768116,0.002189781,50,0.169491525,0.538579522,-0.038102689,Y,F,1,healed,some irritation,viscera adhered to suture,encapsulated in mesentery,emerging through body wall,In progress,Yes,medial,right lateral,,"one suture, some redness, tag is protruding, viserca adhered, tag middle right, pushing through body wall",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1039,0.9,22,3.5,846.6592201,1,295,267.1295141,1.040532923,0.074576271,0.003369152,348,534,1.26708,0.063218391,0.001685393,53,0.179661017,0.999030327,0.217720729,Y,F,3,healed,some irritation,tissue adhesion near incision site,partially encapsulated,no rejection,No,No,medial,right lateral,,"three sutures, some irritation, lightly incapsulated in mesentary, middle right, adhesions holding tag",,partially encapsulated
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1030,0.9,22,3.5,846.6592201,1,295,267.1295141,1.040532923,0.074576271,0.003369152,345,459,1.11778,0.063768116,0.001960784,50,0.169491525,0.718267641,0.074235683,Y,F,1,healed,no irritation,tissue adhesion near incision site,encapsulated in mesentery,protruding from body wall,In progress,Yes,medial,left lateral,,"healed, possible expulsion site ventral left middle, middle tag encapsulated in mesentary, adhesion to body wall near suture",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1032,0.9,22,3.5,846.6592201,2,293,261.7480263,1.040592172,0.075085324,0.003438421,345,422.5,1.02889,0.063768116,0.002130178,52,0.177474403,0.614147797,-0.011244588,Y,F,2,healed,some irritation,tissue adhesion near incision site,encapsulated in mesentery,no rejection,No,No,medial,medial,,"two sutures, some redness, adhesion near suture area, tag encapsulated in middle near incision",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1088,0.9,22,3.5,846.6592201,2,293,261.7480263,1.040592172,0.075085324,0.003438421,345,492.5,1.19936,0.063768116,0.001827411,52,0.177474403,0.881580568,0.152572876,Y,M,0,healed,no irritation,tissue adhesion near incision site,encapsulated in mesentery; enveloped in viscera,no rejection,No,No,medial,medial,,"no sutures, fully healed, adhesions at incision site, tag central middle under incision site, incorporate in viscera with mesentary",,encapsulated in mesentery; enveloped in viscera
9.45E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1084,0.9,22,3.5,846.6592201,3,292,259.0845625,1.040621949,0.075342466,0.003473769,330,435,1.21045,0.066666667,0.002068966,38,0.130136986,0.678988496,0.163200165,Y,M,2,healed,some irritation,tissue adhesion near incision site,no encapsulation,no rejection,No,No,medial,medial,,"two sutures, slight irritation at one, incision healed, tag located middle directly under incision, some adhesion, ",,no encapsulation
9.82E+14,6,12/9/2017,12/10/2017,92,Y,30,Y,V7,1119,0.9,22,3.5,846.6592201,1,290,253.8118876,1.040681814,0.075862069,0.003545933,350,540.5,1.26064,0.062857143,0.001665125,60,0.206896552,1.129529886,0.211361035,N,F,1,healed,no irritation,viscera adhered to suture,expelled,no signs of exit,Yes,Yes,NA,NA,,"one suture remaining, no obvious exit site, some adhesion of viscera",,expelled
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1110,0.9,22,3.5,846.6592201,2,289,251.2025535,1.040711902,0.076124567,0.003582766,340,455.5,1.15892,0.064705882,0.001975851,51,0.176470588,0.813277746,0.113579196,Y,F,2,healed,no irritation,tissue adhesion near incision site,encapsulated in mesentery,no rejection,No,No,medial,right lateral,,"two sutures, no irritation, slight adhesion at incision, tag located middle right wrapped in mesentary",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1094,0.9,22,3.5,846.6592201,3,288,248.6111398,1.040742096,0.076388889,0.003620111,345,468,1.13969,0.063768116,0.001923077,57,0.197916667,0.882457883,0.095078989,Y,F,2,healed,some irritation,tissue adhesion near incision site,embedded in pyloric caeca,no rejection,No,No,medial,medial,,"two sutures, slight redness, adhesion at incision site, tag middle incoporate in pyloric cecea ahesions",,embedded in pyloric caeca
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1109,0.9,22,3.5,846.6592201,3,286,243.4818272,1.040802802,0.076923077,0.003696374,345,470.5,1.14578,0.063768116,0.001912859,59,0.206293706,0.93238241,0.100864557,Y,M,2,healed,some irritation,,encapsulated in mesentery,no rejection,No,No,anterior,right lateral,,"two sutures, redness, incision healed, tag anterior right, mensentary",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1080,0.9,22,3.5,846.6592201,3,285,240.9438053,1.040833316,0.077192982,0.003735311,340,456,1.16019,0.064705882,0.001973684,55,0.192982456,0.892557476,0.114671524,Y,F,2,healed,some irritation,viscera adhered to suture,encapsulated in mesentery,no rejection,No,No,medial,right lateral,,"two sutures remaining, one broken, some irritation, viscera slightly attached to body wall, tag located middle right, encapsulated in body wall, ",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1097,0.9,22,3.5,846.6592201,1,284,238.4234578,1.040863938,0.077464789,0.003774796,360,535,1.14669,0.061111111,0.001682243,76,0.267605634,1.243906724,0.101672016,Y,M,0,healed,no irritation,viscera adhered to suture,no encapsulation,no rejection,No,No,posterior,right lateral,,"no sutures, healed, viscera attatched, tag posterior right in mesentary",,no encapsulation
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1062,0.9,22,3.5,846.6592201,3,283,235.9207231,1.040894668,0.077738516,0.003814841,340,443.5,1.12838,0.064705882,0.002029312,57,0.201413428,0.879868772,0.084051935,Y,M,1,healed,some irritation,,encapsulated in mesentery,protruding from body wall,In progress,Yes,anterior,right lateral,,"one suture, some redness, incision closed, anterior right tag encapsulated in body wall, starting to push through ",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1095,0.9,22,3.5,846.6592201,2,281,230.9678461,1.04095646,0.078291815,0.003896646,325,421,1.2264,0.067692308,0.002137767,44,0.15658363,0.822764541,0.178146909,Y,F,0,healed,no irritation,,encapsulated in mesentery,no rejection,No,No,medial,right lateral,,"sutures healed, tag right side middle, encapsulated in mesentary",,encapsulated in mesentery
9.82E+14,6,12/9/2017,12/10/2017,92,Y,30,Y,V7,1074,0.9,22,3.5,846.6592201,2,281,230.9678461,1.04095646,0.078291815,0.003896646,320,355.5,1.0849,0.06875,0.002531646,39,0.138790036,0.539175284,0.042214487,N,M,1,healed,some irritation,tissue adhesion near incision site,expelled,no signs of exit,Yes,Yes,NA,NA,,"one suture remaining, some redness, wound healed, viscera attached to suture site",,expelled
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1031,0.9,22,3.5,846.6592201,2,280,228.5175808,1.040987522,0.078571429,0.003938428,355,515.5,1.15224,0.061971831,0.001745878,75,0.267857143,1.255843941,0.106873746,Y,M,0,healed,some irritation,viscera adhered to suture,no encapsulation,no rejection,No,No,medial,right lateral,,"no sutures remaining, redness, incision healed, viscera adhered, tag middle right mesentary",,no encapsulation
9.68E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1004,0.9,22,3.5,846.6592201,3,278,223.6690892,1.041049983,0.079136691,0.004023801,335,408.5,1.08657,0.065671642,0.002203182,57,0.205035971,0.826358758,0.043724933,Y,M,1,healed,some irritation,,encapsulated in mesentery,no rejection,No,No,medial,right lateral,,"one suture slightly red but healed, tag located middle right, mesentary",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1056,0.9,22,3.5,846.6592201,3,277,221.2707399,1.041081384,0.079422383,0.004067415,315,317,1.01421,0.06984127,0.002839117,38,0.137184116,0.432634067,-0.025811676,Y,M,2,healed,some irritation,viscera sutured in,encapsulated in mesentery,no rejection,No,No,anterior,right lateral,,"two sutures remaining, healed incision, minimal redness, viscera adhered to suture, potentially stitched in, tag located anterior right, encapsulated",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1026,0.9,22,3.5,846.6592201,2,276,218.8895728,1.0411129,0.079710145,0.004111662,315,354.5,1.13419,0.06984127,0.002538787,39,0.141304348,0.619538087,0.089398444,Y,M,2,healed,some irritation,,encapsulated in mesentery,adhered to body wall,In progress,Yes,medial,right lateral,,"two sutures with redness, tag middle right encapsulated in mesentary and body wall",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1128,0.9,22,3.5,846.6592201,2,276,218.8895728,1.0411129,0.079710145,0.004111662,320,377,1.15051,0.06875,0.002387268,44,0.15942029,0.722329644,0.105079666,Y,F,1,healed,some irritation,tissue adhesion near incision site,enveloped in viscera,adhered to body wall,In progress,Yes,medial,right lateral,,"one suture remaining, healed, some redness, tag located on middle right, encapsulated in the viscera / mesentary, viscera somewhat adhered to the wall",,enveloped in viscera
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1072,0.9,22,3.5,846.6592201,2,276,218.8895728,1.0411129,0.079710145,0.004111662,325,341,0.99335,0.067692308,0.002639296,49,0.177536232,0.557863153,-0.045872379,Y,F,2,healed,some irritation,viscera sutured in,encapsulated in mesentery,emerging through body wall,In progress,Yes,medial,left lateral,,"two sutures, some redness, sitch through viscera, tag middle left, encapsulated in body wall, starting to push through",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1010,0.9,22,3.5,846.6592201,2,276,218.8895728,1.0411129,0.079710145,0.004111662,325,360,1.0487,0.067692308,0.0025,49,0.177536232,0.644664912,0.007290157,Y,M,2,healed,some irritation,tissue adhesion near incision site,encapsulated in mesentery,no rejection,No,No,posterior,right lateral,,"two sutures, inflamed site, slightly adhered, tag posterior right, wrapped in mesentary",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1104,0.9,22,3.5,846.6592201,3,276,218.8895728,1.0411129,0.079710145,0.004111662,320,375.5,1.14594,0.06875,0.002396804,44,0.15942029,0.715476874,0.100682797,Y,M,2,healed,some irritation,viscera adhered to suture,encapsulated in mesentery,protruding from body wall,In progress,Yes,medial,right lateral,,"two sutures, slightly red, incision healed, tag protruding slightly out of body wall but hasn't broken skin, viscera adhered to body wall, tag encaspulated in body wall and starting to push through",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1090,0.9,22,3.5,846.6592201,1,275,216.5255265,1.04114453,0.08,0.004156554,305,314.5,1.10846,0.072131148,0.002861685,30,0.109090909,0.452484633,0.064657971,Y,F,1,healed,no irritation,tissue adhesion near incision site,encapsulated in mesentery,adhered to body wall,In progress,Yes,medial,right lateral,,"one suture remaining, healed well, adhesion to suture site, tag located right side middle, encapsulated with mesentary and adhered to body cavity as well",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,NA,Y,V7,1099,0.9,22,3.5,846.6592201,1,272,209.5354972,1.041240123,0.080882353,0.004295215,335,428,1.13844,0.065671642,0.002102804,63,0.231617647,1.042613332,0.093348096,N,M,1,healed,some irritation,tissue adhesion near incision site; viscera sutured in,expelled,no signs of exit,Yes,Yes,NA,NA,,"one suture redness incision healed, adhesion to viscera, suture through viscera, no tag recoverd",,expelled
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1007,0.9,22,3.5,846.6592201,2,271,207.2393188,1.041272224,0.081180812,0.004342805,320,334,1.01929,0.06875,0.002694611,49,0.180811808,0.611663278,-0.021113705,Y,M,2,healed,some irritation,viscera adhered to suture,encapsulated in mesentery,no rejection,No,No,medial,right lateral,,"two sutures, irritation, wound healed, tag located middle right, mesentary, visera attatched to suture site",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/10/2017,92,Y,31,Y,V7,1078,0.9,22,3.5,846.6592201,3,271,207.2393188,1.041272224,0.081180812,0.004342805,330,407.5,1.13393,0.066666667,0.002208589,59,0.217712177,0.966325706,0.088984028,N,M,2,healed,some irritation,tissue adhesion near incision site,expelled,no signs of exit,Yes,Yes,NA,NA,,"two sutures, irritation at site, no adhesions at incision, no obvious exit site",,expelled
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1100,0.9,22,3.5,846.6592201,2,270,204.9599537,1.041304444,0.081481481,0.004391102,330,440,1.22436,0.066666667,0.002045455,60,0.222222222,1.146760829,0.175799132,Y,M,0,healed,no irritation,viscera adhered to suture,encapsulated in mesentery; enveloped in viscera,no rejection,No,No,medial,left lateral,,"no sutures remaining, healed, viscera slightly attatched, tag middle left, embedded in viscera mesentary",,encapsulated in mesentery; enveloped in viscera
9.45E+14,6,12/9/2017,13/12/2017,92,Y,NA,Y,V7,1048,0.9,22,3.5,846.6592201,1,270,204.9599537,1.041304444,0.081481481,0.004391102,340,528,1.34337,0.064705882,0.001704545,70,0.259259259,1.576112994,0.290088339,N,M,3,healed,some irritation,viscera adhered to suture,expelled,no signs of exit,Yes,Yes,NA,NA,,"three sutures, healed incision, slight irritation around suture site, some adhesion of viscera to suture, tag not recovered, no obvious exit site for tag, ",,expelled
9.82E+14,5,12/9/2017,17/10/2017,92,Y,35,Y,V7,1036,0.9,22,3.5,846.6592201,1,270,204.9599537,1.041304444,0.081481481,0.004391102,335,395.5,1.05199,0.065671642,0.002275601,65,0.240740741,0.929645245,0.010262761,N,M,1,healed,no irritation,,expelled,no signs of exit,Yes,Yes,NA,NA,,"one suture, healed, slightly adhered viscera",,expelled
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1067,0.9,22,3.5,846.6592201,3,270,204.9599537,1.041304444,0.081481481,0.004391102,345,443,1.07881,0.063768116,0.002031603,75,0.277777778,1.161397834,0.036021383,Y,M,2,healed,some irritation,,encapsulated in mesentery,protruding from body wall,In progress,Yes,anterior,left lateral,,"two sutures, incision healed, irritation, tag located anterior left, encapsulaed in body wall, very thin layer of mesentary",,encapsulated in mesentery
9.45E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1120,0.9,22,3.5,846.6592201,2,269,202.6973402,1.041336785,0.081784387,0.004440117,310,330,1.10772,0.070967742,0.002727273,41,0.152416357,0.62804307,0.063745286,Y,F,0,healed,no irritation,,encapsulated in mesentery,no rejection,No,No,medial,right lateral,,"healed, no sutures remaining, tag middle right encapsulated in mesentary",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/10/2017,92,Y,31,Y,V7,1041,0.9,22,3.5,846.6592201,1,269,202.6973402,1.041336785,0.081784387,0.004440117,345,548.5,1.33573,0.063768116,0.001640839,76,0.282527881,1.706004921,0.282708985,N,F,2,healed,no irritation,tissue adhesion near incision site,expelled,potential exit site,Yes,Yes,NA,NA,,"two sutures remaining, three potential orginally, incision healed, one suture off to the side, potential exit site (?), adhesion to suture site, no obvious exit site for tag",,expelled
9.45E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1127,0.9,22,3.5,846.6592201,2,268,200.4514169,1.041369247,0.082089552,0.004489866,315,359.5,1.15018,0.06984127,0.002503477,47,0.175373134,0.793452028,0.104491772,Y,M,0,healed,no irritation,tissue adhesion near incision site,encapsulated in mesentery,no rejection,No,No,posterior,right lateral,,"no remaining sutures, adhesion of body wall to incision site, tag in hind right, parallell to pelvic fins",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1013,0.9,22,3.5,846.6592201,2,267,198.2221221,1.041401832,0.082397004,0.004540361,330,426.5,1.1868,0.066666667,0.002110199,63,0.235955056,1.151626647,0.139616894,Y,F,1,healed,no irritation,,no encapsulation,no rejection,No,No,posterior,left lateral,,"one suture healed, tag left side encapsulated with mesentary near pelvic girdle, some adhesion to suture",,no encapsulation
9.82E+14,5,12/9/2017,13/12/2017,92,Y,NA,Y,V7,1091,0.9,22,3.5,846.6592201,3,266,196.0093945,1.04143454,0.082706767,0.004591617,325,391,1.13901,0.067692308,0.00230179,59,0.221804511,0.994802346,0.093691148,N,F,2,healed,some irritation,,expelled,no signs of exit,Yes,Yes,NA,NA,,"two sutures, redness, no tag",,expelled
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1043,0.9,22,3.5,846.6592201,1,265,193.8131724,1.041467372,0.083018868,0.004643647,310,299.5,1.00534,0.070967742,0.003005008,45,0.169811321,0.545302604,-0.034691619,Y,F,2,healed,some irritation,tissue adhesion near incision site; one suture through GI tract,embedded in pyloric caeca,no rejection,No,No,medial,medial,,"two sutures remaining, some irritation on one, minor adhesions to incision site, tag located directly below, embedded in pyloric cecea, one suture into GI tract",,embedded in pyloric caeca
9.82E+14,6,12/9/2017,19/10/2017,92,Y,37,Y,V7,1050,0.9,22,3.5,846.6592201,2,265,193.8131724,1.041467372,0.083018868,0.004643647,315,445,1.42373,0.06984127,0.002022472,50,0.188679245,1.296025572,0.367044592,N,NA,1,healed,no irritation,,expelled,no signs of exit,Yes,Yes,NA,NA,,"incision healed, one suture",,expelled
9.82E+14,5,12/9/2017,13/12/2017,92,Y,NA,Y,V7,1018,0.9,22,3.5,846.6592201,3,263,189.4699988,1.041533413,0.08365019,0.004750092,305,312.5,1.10141,0.072131148,0.00288,42,0.159695817,0.649337637,0.057492502,N,F,2,healed,some irritation,viscera adhered to suture,expelled,no signs of exit,Yes,Yes,NA,NA,,"two sutures, some redness, incision healed, adhesion of viscera to suture site, no tag found",,expelled
9.82E+14,5,12/9/2017,13/12/2017,92,Y,NA,Y,V7,1073,0.9,22,3.5,846.6592201,2,261,185.192109,1.041599962,0.084291188,0.004859818,315,333,1.0654,0.06984127,0.002702703,54,0.206896552,0.798132771,0.022849216,N,M,1,healed,some irritation,viscera adhered to suture,expelled,no signs of exit,Yes,Yes,NA,NA,,"one suture, some redness, healed incision, viscera slightly attatched, no tag",,expelled
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1086,0.9,22,3.5,846.6592201,2,260,183.0774916,1.04163343,0.084615385,0.004915951,295,285,1.11014,0.074576271,0.003157895,35,0.134615385,0.556717855,0.065771009,Y,F,1,healed,some irritation,,encapsulated in mesentery,no rejection,No,No,medial,right lateral,,one suture with some redness; tag located middle right encapsulated in mesentary,,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1051,0.9,22,3.5,846.6592201,3,258,178.8966044,1.041700756,0.085271318,0.005030839,310,314,1.05401,0.070967742,0.002866242,52,0.201550388,0.755203801,0.011816103,Y,M,0,healed,no irritation,tissue adhesion near incision site,encapsulated in mesentery,no rejection,No,No,medial,right lateral,,"no sutures remaining, incision healed, adhesions at incision site, tag located middle right, in mesentary film, few adhesions around that",,encapsulated in mesentery
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1071,0.9,22,3.5,846.6592201,1,255,172.745219,1.04180274,0.08627451,0.005209985,285,253,1.09291,0.077192982,0.003557312,30,0.117647059,0.464584672,0.049060285,Y,F,0,healed,no irritation,pyloric cecae sutured in,encapsulated in mesentery,no rejection,No,No,medial,right lateral,,"sutures gone, healed, can feel tag on right side, sutures attached to pyloric cecea, tag middle right encapsulated",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,92,Y,V7,1003,0.9,22,3.5,846.6592201,1,254,170.7264965,1.041837003,0.086614173,0.005271589,320,344.5,1.05133,0.06875,0.002612482,66,0.25984252,1.0178473,0.009112331,Y,M,3,healed,some irritation,,encapsulated in mesentery,no rejection,No,No,medial,right lateral,,"three sutures remaining, some irritation at the surface, tag middle right, wrapped in thin mesentary",,encapsulated in mesentery
9.82E+14,6,12/9/2017,19/10/2017,92,Y,38,Y,V7,1019,0.9,22,3.5,846.6592201,1,252,166.7362909,1.04190594,0.087301587,0.005397745,290,262,1.07425,0.075862069,0.003435115,38,0.150793651,0.571343578,0.031047761,N,F,1,healed,some irritation,,expelled,no signs of exit,Yes,Yes,NA,NA,,"one suture remaining, some redness, wound healed, no tag recovered, no obvious exit point ",,expelled
9.82E+14,5,12/9/2017,13/12/2017,92,Y,92,Y,V7,1107,0.9,22,3.5,846.6592201,2,251,164.7646848,1.041940616,0.087649402,0.005462336,315,395,1.26376,0.06984127,0.002278481,64,0.25498008,1.397358393,0.212892936,Y,M,1,healed,some irritation,,encapsulated in mesentery,no rejection,No,No,posterior,left lateral,,"one suture, some redness, tag posterior left, encapsulated in mesentary",,encapsulated in mesentery
9.82E+14,6,12/9/2017,13/12/2017,92,Y,NA,Y,V7,1035,0.9,22,3.5,846.6592201,2,251,164.7646848,1.041940616,0.087649402,0.005462336,300,350.5,1.29815,0.073333333,0.00256776,49,0.195219124,1.127276245,0.245894563,N,F,1,healed,some irritation,tissue adhesion near incision site,expelled,no signs of exit,Yes,Yes,NA,NA,,"one suture, some redness, incision healed, viscera slightly adhered to suture, no tag found, no obvious exit",,expelled
